product_id,product_name,price,rating,url
P0021,OPPO Reno15 5G 12GB 256GB,16990000,4.9,https://fptshop.com.vn/dien-thoai/oppo-reno15-5g
P0022,Samsung Galaxy A37 5G 8GB 128GB,9790000,4.9,https://fptshop.com.vn/dien-thoai/samsung-galaxy-a37
P0023,Honor X5b Plus 4GB 128GB,2440000,4.9,https://fptshop.com.vn/dien-thoai/honor-x5b-plus
P0024,Samsung Galaxy A17 8GB 128GB,5990000,4.9,https://fptshop.com.vn/dien-thoai/samsung-galaxy-a17
P0025,Samsung Galaxy A36 5G 8GB 128GB,7540000,4.9,https://fptshop.com.vn/dien-thoai/samsung-galaxy-a36
P0026,Oppo A6C 4GB 64GB,4540000,4.9,https://fptshop.com.vn/dien-thoai/oppo-a6c
P0027,OPPO Reno14 5G 12GB 256GB,15200000,4.9,https://fptshop.com.vn/dien-thoai/oppo-reno14
P0028,OPPO Reno14 F 5G 8GB 256GB,9800000,4.9,https://fptshop.com.vn/dien-thoai/oppo-reno14-f
P0029,Nubia Neo 5 Max 8GB 256GB,8790000,4.9,https://fptshop.com.vn/dien-thoai/nubia-neo-5-max
P0030,Oppo A6T Pro 8GB 128GB,8990000,4.9,https://fptshop.com.vn/dien-thoai/oppo-a6t-pro
P0031,OPPO A6T 6GB 256GB,7990000,4.9,https://fptshop.com.vn/dien-thoai/oppo-a6t-6gb
P0032,Samsung Galaxy A27 5G 6GB 128GB,7940000,4.9,https://fptshop.com.vn/dien-thoai/samsung-galaxy-a27
P0033,OPPO A6 Pro 8GB 128GB,8290000,4.9,https://fptshop.com.vn/dien-thoai/oppo-a6-pro
P0034,Xiaomi Redmi 15C 4GB 128GB (NFC),4290000,4.9,https://fptshop.com.vn/dien-thoai/xiaomi-redmi-15c
P0035,OPPO Reno15 F 5G 8GB 256GB,11990000,4.9,https://fptshop.com.vn/dien-thoai/oppo-reno15-f
P0036,iPhone 16 128GB,20990000,4.9,https://fptshop.com.vn/dien-thoai/iphone-16
P0037,Benco V91c 4GB 128GB,2590000,4.9,https://fptshop.com.vn/dien-thoai/benco-v91c
P0038,iPhone 16 Plus 128GB,23990000,4.9,https://fptshop.com.vn/dien-thoai/iphone-16-plus
P0039,Honor X9d 5G 12GB 256GB,11190000,4.9,https://fptshop.com.vn/dien-thoai/honor-x9d-12gb
P0040,Tecno Spark 40C 8GB 256GB,3490000,4.9,https://fptshop.com.vn/dien-thoai/tecno-spark-40c
P0041,Masstel Fami 25 4G 128MB,680000,4.9,https://fptshop.com.vn/dien-thoai/masstel-fami-25-4g
P0042,OPPO A5i Pro 8GB 128GB,6290000,4.9,https://fptshop.com.vn/dien-thoai/oppo-a5i-pro
P0043,Tecno Pova 7 8GB 128GB,4590000,4.9,https://fptshop.com.vn/dien-thoai/tecno-pova-7
P0044,Samsung Galaxy A16 4GB 128GB,4000000,4.9,https://fptshop.com.vn/dien-thoai/samsung-galaxy-a16-lte
